just_date,Count,TMAX
2015-08-26,10,80
2012-10-17,10,68
2008-11-13,15,63
2015-04-08,15,77
2015-04-16,22,79
2015-04-20,23,58
1993-05-01,2,
2014-05-09,8,81
2015-05-17,21,83
2015-05-27,26,85
2015-06-10,18,95
2015-06-14,12,83
2015-06-16,29,84
2015-06-17,15,80
2015-06-20,52,90
2015-06-22,23,93
2015-06-23,21,88
2015-06-28,22,84
2015-06-29,18,85
2015-06-30,15,86
2015-07-02,14,78
2015-07-03,23,83
2015-07-04,32,84
2015-07-05,20,89
2015-07-07,21,81
2015-07-08,10,74
2015-07-12,21,96
2015-07-13,9,99
2015-07-17,21,95
2015-07-22,28,85
2015-07-26,21,90
2014-09-19,19,80
2015-02-01,3,42
2015-02-10,7,44
2015-03-19,9,51
2015-03-28,13,46
2015-04-02,21,75
2015-04-28,9,70
2015-05-19,6,67
2015-05-24,29,87
2015-05-28,16,86
2015-05-29,13,86
2015-05-31,11,60
2015-06-02,15,74
2015-06-03,11,77
2015-06-06,10,85
2015-06-08,13,87
2015-06-09,13,92
2015-06-12,20,93
2015-06-13,38,90
2015-06-15,14,90
2015-06-18,6,81
2005-11-15,1,
2013-03-01,10,34
2015-03-16,23,83
2015-03-26,16,51
2015-04-04,15,63
2015-04-10,14,71
2014-04-20,24,83
2015-04-23,16,66
2005-04-24,1,
2015-04-25,11,71
2015-04-26,22,64
2015-04-29,22,76
2015-04-30,15,72
2015-05-01,17,72
2015-05-02,27,80
2015-05-03,5,85
2015-05-04,19,86
2015-05-05,10,85
2015-05-06,31,87
2015-05-07,10,86
2015-05-09,30,73
2015-05-10,11,84
2015-05-11,16,75
2015-05-12,14,70
2015-05-13,15,71
2015-05-14,5,77
2015-05-15,13,85
2015-05-16,14,79
2015-05-18,7,85
2015-05-20,13,57
2015-05-22,8,76
2015-05-23,23,79
2015-05-26,21,81
2015-05-30,16,75
2005-06-01,2,
2003-06-24,1,
2012-09-16,14,74
2012-12-20,12,56
2013-12-21,21,37
2015-01-17,26,63
2015-01-25,16,52
2015-02-24,10,43
2015-03-03,2,48
2015-03-13,8,54
2015-03-20,18,57
2015-03-22,11,65
2014-05-01,17,56
2015-03-25,17,60
2015-03-29,17,61
2015-03-30,16,72
2015-02-23,5,16
2015-04-03,12,61
2015-04-05,8,69
2015-04-07,8,73
2015-03-08,20,63
2015-04-11,14,68
2015-04-13,17,71
2015-04-14,13,69
2012-07-13,18,95
2015-04-15,25,70
2015-04-17,17,80
2015-02-17,10,35
2015-04-19,21,67
2015-04-21,12,68
2004-10-05,1,
2015-04-22,13,59
2012-06-24,19,99
2009-01-31,19,55
2015-01-03,12,42
2015-01-23,12,41
2015-01-26,9,42
2015-01-30,10,41
2015-02-14,15,38
2015-02-16,11,21
